Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
quick_sort,15,22000,10,381638.70,205563.30
dual_pivot_quick_sort,15,22000,10,374495.90,146450.10
hybrid_sort,15,22000,10,382349.20,209508.60
quick_sort,15,23000,10,399338.60,207396.90
dual_pivot_quick_sort,15,23000,10,400761.40,155130.70
hybrid_sort,15,23000,10,406228.50,216889.50
quick_sort,15,24000,10,415086.50,223515.90
dual_pivot_quick_sort,15,24000,10,411328.20,165825.00
hybrid_sort,15,24000,10,411412.20,218049.60
quick_sort,15,25000,10,427239.10,228755.40
dual_pivot_quick_sort,15,25000,10,427719.90,174858.70
hybrid_sort,15,25000,10,438352.50,230586.70
quick_sort,15,26000,10,447282.70,235950.50
dual_pivot_quick_sort,15,26000,10,454372.40,172753.90
hybrid_sort,15,26000,10,451223.20,238143.50
quick_sort,15,27000,10,473300.10,250737.70
dual_pivot_quick_sort,15,27000,10,475648.00,183008.50
hybrid_sort,15,27000,10,478715.20,249626.40
quick_sort,15,28000,10,493712.00,269277.60
dual_pivot_quick_sort,15,28000,10,504428.60,200093.50
hybrid_sort,15,28000,10,502847.50,252975.30
quick_sort,15,29000,10,518239.10,267882.20
dual_pivot_quick_sort,15,29000,10,519633.00,202870.40
hybrid_sort,15,29000,10,512449.80,264718.50
quick_sort,15,30000,10,537008.00,277408.70
dual_pivot_quick_sort,15,30000,10,519084.50,212017.50
hybrid_sort,15,30000,10,536905.10,285825.30
quick_sort,15,31000,10,549953.60,291085.60
dual_pivot_quick_sort,15,31000,10,563222.10,212065.80
hybrid_sort,15,31000,10,554116.00,283862.50
quick_sort,15,32000,10,572773.50,310897.20
dual_pivot_quick_sort,15,32000,10,567986.20,220238.90
hybrid_sort,15,32000,10,567190.10,290610.00
quick_sort,15,33000,10,600618.40,319762.60
dual_pivot_quick_sort,15,33000,10,595648.10,228848.50
hybrid_sort,15,33000,10,608945.90,322332.90
quick_sort,15,34000,10,606850.50,321376.00
dual_pivot_quick_sort,15,34000,10,604168.40,238784.00
hybrid_sort,15,34000,10,616480.50,323069.70
quick_sort,15,35000,10,643581.90,336985.00
dual_pivot_quick_sort,15,35000,10,641753.10,251997.00
hybrid_sort,15,35000,10,646593.90,335625.10
quick_sort,15,36000,10,673981.80,365016.10
dual_pivot_quick_sort,15,36000,10,649999.50,257631.00
hybrid_sort,15,36000,10,654503.80,345509.10
quick_sort,15,37000,10,680774.10,357288.60
dual_pivot_quick_sort,15,37000,10,682433.10,259960.80
hybrid_sort,15,37000,10,673016.90,348237.00
quick_sort,15,38000,10,694028.90,364201.50
dual_pivot_quick_sort,15,38000,10,698531.40,270406.40
hybrid_sort,15,38000,10,711073.50,376634.20
quick_sort,15,39000,10,711344.60,376222.30
dual_pivot_quick_sort,15,39000,10,722190.30,274614.60
hybrid_sort,15,39000,10,728480.20,374594.30
quick_sort,15,40000,10,734591.70,371490.50
dual_pivot_quick_sort,15,40000,10,745468.90,286512.30
hybrid_sort,15,40000,10,744547.40,400646.10
quick_sort,15,41000,10,750087.60,399575.10
dual_pivot_quick_sort,15,41000,10,758278.50,299280.50
hybrid_sort,15,41000,10,776636.00,399476.10
quick_sort,15,42000,10,776089.80,405541.00
dual_pivot_quick_sort,15,42000,10,790731.00,309810.90
hybrid_sort,15,42000,10,782174.50,406247.80
quick_sort,15,43000,10,801678.50,414383.70
dual_pivot_quick_sort,15,43000,10,787574.50,327509.90
hybrid_sort,15,43000,10,804554.10,418889.90
quick_sort,15,44000,10,814509.30,429291.10
dual_pivot_quick_sort,15,44000,10,817156.50,320159.40
hybrid_sort,15,44000,10,820314.90,421982.80
quick_sort,15,45000,10,846941.50,455222.00
dual_pivot_quick_sort,15,45000,10,848322.00,339855.40
hybrid_sort,15,45000,10,832815.10,422798.30
quick_sort,15,46000,10,859245.50,449435.60
dual_pivot_quick_sort,15,46000,10,864484.40,337424.70
hybrid_sort,15,46000,10,848621.30,436723.30
quick_sort,15,47000,10,888403.60,482820.60
dual_pivot_quick_sort,15,47000,10,867842.60,334115.60
hybrid_sort,15,47000,10,887079.50,460016.60
quick_sort,15,48000,10,904779.90,466158.20
dual_pivot_quick_sort,15,48000,10,916518.10,360467.90
hybrid_sort,15,48000,10,889388.30,467678.70
quick_sort,15,49000,10,908906.70,479200.90
dual_pivot_quick_sort,15,49000,10,916250.70,364131.10
hybrid_sort,15,49000,10,926862.10,485643.20
quick_sort,15,50000,10,947506.20,504758.30
dual_pivot_quick_sort,15,50000,10,928259.10,364964.30
hybrid_sort,15,50000,10,943962.20,497551.10
quick_sort,15,1000,100,11060.12,6116.25
dual_pivot_quick_sort,15,1000,100,11027.50,4258.30
hybrid_sort,15,1000,100,11064.19,6042.20
