Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
quick_sort,15,38000,100,696872.25,367011.36
dual_pivot_quick_sort,15,38000,100,630283.89,272499.13
hybrid_sort,15,38000,100,703914.54,369351.89
quick_sort,15,39000,100,715299.03,378004.36
dual_pivot_quick_sort,15,39000,100,652844.05,279796.72
hybrid_sort,15,39000,100,720383.65,377648.82
quick_sort,15,40000,100,737077.12,392577.80
dual_pivot_quick_sort,15,40000,100,669766.95,291797.56
hybrid_sort,15,40000,100,740341.48,391541.11
quick_sort,15,41000,100,756619.88,401175.27
dual_pivot_quick_sort,15,41000,100,690056.05,296962.59
hybrid_sort,15,41000,100,761712.47,400258.31
quick_sort,15,42000,100,777545.77,410582.57
dual_pivot_quick_sort,15,42000,100,707093.46,304009.88
hybrid_sort,15,42000,100,781730.20,412254.27
quick_sort,15,43000,100,796174.25,424034.66
dual_pivot_quick_sort,15,43000,100,721798.56,312914.97
hybrid_sort,15,43000,100,802059.91,417889.20
quick_sort,15,44000,100,816116.29,431587.49
dual_pivot_quick_sort,15,44000,100,744283.44,318419.63
hybrid_sort,15,44000,100,828869.30,436645.02
quick_sort,15,45000,100,840069.72,442439.33
dual_pivot_quick_sort,15,45000,100,763187.50,326638.92
hybrid_sort,15,45000,100,842302.38,442842.21
quick_sort,15,46000,100,861370.24,455068.80
dual_pivot_quick_sort,15,46000,100,785933.43,337408.04
hybrid_sort,15,46000,100,865682.66,451819.77
quick_sort,15,47000,100,878619.44,468039.17
dual_pivot_quick_sort,15,47000,100,799200.83,344953.78
hybrid_sort,15,47000,100,881445.31,461828.79
quick_sort,15,48000,100,895845.39,471979.13
dual_pivot_quick_sort,15,48000,100,821233.87,354150.56
hybrid_sort,15,48000,100,908325.55,475005.02
quick_sort,15,49000,100,915771.76,485176.91
dual_pivot_quick_sort,15,49000,100,836767.64,359031.16
hybrid_sort,15,49000,100,925535.75,487885.22
quick_sort,15,50000,100,935064.13,491957.25
dual_pivot_quick_sort,15,50000,100,857753.45,367622.05
hybrid_sort,15,50000,100,945038.48,497156.04
